id,sales
3000888,-9.068707
3000889,-10.871231
3000890,-2.0597355
3000891,2161.598
3000892,-8.680719
3000893,423.32974
3000894,-9.068707
3000895,723.0002
3000896,929.00726
3000897,192.50171
3000898,146.32059
3000899,124.790825
3000900,2932.114
3000901,-1.2370074
3000902,-10.249129
3000903,30.13386
3000904,34.52733
3000905,-8.634898
3000906,218.44092
3000907,-9.068707
3000908,202.0413
3000909,100.84127
3000910,116.40176
3000911,-9.068707
3000912,329.856
3000913,234.09962
3000914,-9.171093
3000915,-9.068707
3000916,310.6535
3000917,79.58103
3000918,4261.116
3000919,99.824425
3000920,-9.068707
3000921,-33.256832
3000922,-35.059357
3000923,-118.79337
3000924,1460.5988
3000925,-32.86884
3000926,180.61913
3000927,-33.256832
3000928,965.07996
3000929,391.0068
3000930,193.06358
3000931,109.174675
3000932,47.31894
3000933,3114.402
3000934,-25.425127
3000935,-34.437252
3000936,-86.59978
3000937,-82.20634
3000938,-31.568943
3000939,246.28166
3000940,-33.256832
3000941,51.030437
3000942,-15.892383
3000943,16.126616
3000944,-33.256832
3000945,271.53998
3000946,203.72096
3000947,-33.35922
3000948,-33.256832
3000949,255.0158
3000950,20.535912
3000951,3955.6592
3000952,5.0296917
3000953,-33.256832
3000954,32.02591
3000955,30.223387
3000956,79.664764
3000957,4623.6987
3000958,32.4139
3000959,661.8604
3000960,32.02591
3000961,2098.1946
3000962,1115.1605
3000963,529.42035
3000964,205.08884
3000965,154.68956
3000966,7371.6245
3000967,39.857613
3000968,30.84549
3000969,143.39267
3000970,295.88046
3000971,32.45972
3000972,518.3179
3000973,32.02591
3000974,377.66376
3000975,171.5756
3000976,336.9721
3000977,32.02591
3000978,512.29193
3000979,521.309
3000980,31.923527
3000981,132.58612
3000982,398.41888
3000983,70.17128
3000984,3377.9277
3000985,331.66306
3000986,32.02591
3000987,-22.112127
3000988,-23.914652
3000989,-39.171494
3000990,2331.152
3000991,-21.724138
3000992,226.1754
3000993,-22.112127
3000994,882.34467
3000995,509.00607
3000996,133.95958
3000997,147.68277
3000998,97.5063
3000999,3306.1953
3001000,-14.280428
